"","date","lender","borrower","amount_honoured"
"542",2017-10-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5402858.4
"543",2017-10-17,"Banco Suiço de Investimento - Credit Suisse-Brasil","Rio de Janeiro",103847359.4
"544",2017-10-25,"Caixa Econômica Federal","Rio de Janeiro",8300625.56
"545",2017-10-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",26962114.58
"546",2017-10-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3223679.68
"547",2017-10-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30739310.19
"548",2017-10-01,"Caixa Econômica Federal","Rio de Janeiro",61529062.61
"549",2017-10-15,"Caixa Econômica Federal","Roraima",2820689.09
"550",2017-09-19,"Caixa Econômica Federal","Rio de Janeiro",1019045.5
"551",2017-09-19,"Caixa Econômica Federal","Rio de Janeiro",2678798.45
"552",2017-10-16,"Banco do Brasil S/A","Rio de Janeiro",9627344.9
"553",2017-10-15,"Caixa Econômica Federal","Rio de Janeiro",8317674.26
"554",2017-09-25,"Caixa Econômica Federal","Rio de Janeiro",8374507.47
"555",2017-09-01,"Caixa Econômica Federal","Rio de Janeiro",61931962.95
"556",2017-09-20,"Japan International Cooperation Agency","Rio de Janeiro",43254.49
"557",2017-09-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5408968.91
"558",2017-09-25,"Caixa Econômica Federal","Roraima",2810632.45
"559",2017-09-19,"Caixa Econômica Federal","Rio de Janeiro",2617822.97
"560",2017-09-12,"Caixa Econômica Federal","Natal",2189626.48
"561",2017-09-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",27019522.27
"562",2017-09-15,"Caixa Econômica Federal","Roraima",2823363.64
"563",2017-09-19,"Caixa Econômica Federal","Rio de Janeiro",925543.21
"564",2017-09-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3236695.33
"565",2017-09-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30722793.25
"566",2017-09-09,"BID","Rio de Janeiro",39110077.19
"567",2017-09-13,"Corporacão Andina de Fomento","Rio de Janeiro",36892928.3
"568",2017-09-20,"Japan International Cooperation Agency","Rio de Janeiro",26321430.58
"569",2017-09-13,"Corporacão Andina de Fomento","Rio de Janeiro",18394746.96
"570",2017-09-09,"BID","Rio de Janeiro",5559116.3
"571",2017-09-15,"Caixa Econômica Federal","Rio de Janeiro",8442054.22
"572",2017-09-15,"Banco Suiço de Investimento - Credit Suisse-Brasil","Rio de Janeiro",77976750.23
"573",2017-09-15,"Banco do Brasil S/A","Rio de Janeiro",9625100.56
"574",2017-08-15,"Banco Mundial","Rio de Janeiro",9319671.9
"575",2017-08-15,"Banco Mundial","Rio de Janeiro",450444.79
"576",2017-08-15,"Banco Mundial","Rio de Janeiro",15532786.5
