"","Inicio","Classificador","Periodo","total_total","interna_cambial","interna_total","externa_total","ATM_Total","Custo_Total","Ate_12_meses","Ate_12_meses_percentual","De_1_2_anos","De_1_2_anos_percentual","De_2_3_anos","De_2_3_anos_percentual","De_3_4_anos","De_3_4_anos_percentual","De_4_5_anos","De_4_5_anos_percentual","Acima_5_anos","Acima_5_anos_percentual","interna_demais"
"100",NA,NA,2020-04-30,5447563.33,0,5447563.33,0,11.72615941,NA,595822.02,NA,592568.71,NA,588812.16,NA,584823.95,NA,580589.73,NA,7820823.09,NA,5447563.33
"101",NA,NA,2020-04-30,5265587.89,0,5265587.89,0,11.91777247,NA,452639.36,NA,452634.6,NA,452634.6,NA,452634.6,NA,452634.6,NA,6789518.4,NA,5265587.89
"102",NA,NA,2020-04-30,4406629.5,0,4406629.5,0,12.1107116,NA,359770.9,NA,378845.52,NA,378845.52,NA,378845.52,NA,378845.52,NA,5745824.47,NA,4406629.5
"103",NA,NA,2020-04-30,3082547.99,0,3082547.99,0,11.7332771,NA,349536.2,NA,347185.25,NA,344689.54,NA,342039.92,NA,339226.88,NA,4513932.17,NA,3082547.99
"104",NA,NA,2020-04-30,2962986.66,0,2962986.66,0,11.96914602,NA,321794.82,NA,320127.8,NA,318142.5,NA,316034.76,NA,313797,NA,4320619.67,NA,2962986.66
"105",NA,NA,2020-04-30,2676550.46,0,2676550.46,0,11.87269754,NA,230606.87,NA,230606.88,NA,230606.95,NA,230606.94,NA,230606.94,NA,3439886.92,NA,2676550.46
"106",NA,NA,2020-04-30,2170800,0,0,2170800,13.55308219,NA,49778.95163,NA,48424.5,NA,48424.5,NA,105783.2055,NA,161370.8021,NA,2548314.24,NA,0
"107",NA,NA,2020-04-30,1837410.09,0,1837410.09,0,11.58859795,NA,201797.2,NA,200585.68,NA,199299.96,NA,197934.96,NA,196485.81,NA,2617450.34,NA,1837410.09
"108",NA,NA,2020-04-30,1469429.13,0,1469429.13,0,12.01909779,NA,121189.86,NA,126329.4,NA,126329.4,NA,126329.4,NA,126329.37,NA,1905467.6,NA,1469429.13
"109",NA,NA,2020-04-30,1163551.96,0,1163551.96,0,12.47168411,NA,84922.86,NA,100032.6,NA,100032.6,NA,100032.6,NA,100032.6,NA,1550504.61,NA,1163551.96
"110",NA,NA,2020-04-30,857093.96,0,857093.96,0,12.18313537,NA,67775.32,NA,73685.88,NA,73685.88,NA,73685.88,NA,73685.88,NA,1123708.93,NA,857093.96
"111",NA,NA,2020-04-30,824904,0,0,824904,13.63479778,NA,17230.6305,NA,18398.95763,NA,18401.31,NA,18401.31,NA,41973.9435,NA,1014130.149,NA,0
"112",NA,NA,2020-04-30,637133.57,0,637133.57,0,12.36089741,NA,47455.93,NA,54775.44,NA,54775.44,NA,54775.44,NA,54775.44,NA,844455.52,NA,637133.57
"113",NA,NA,2020-04-30,632951.23,0,632951.23,0,11.87082489,NA,54468.32,NA,54462.36,NA,54462.36,NA,54462.36,NA,54462.36,NA,812397.01,NA,632951.23
"114",NA,NA,2020-04-30,598251.91,0,598251.91,0,11.88090406,NA,51544.32,NA,51544.32,NA,51544.32,NA,51544.32,NA,51544.32,NA,768869.02,NA,598251.91
"115",NA,NA,2020-04-30,313346.81,0,313346.81,0,12.1353738,NA,25582.56,NA,26938.92,NA,26938.92,NA,26938.99,NA,26938.98,NA,408574.54,NA,313346.81
"116",NA,NA,2020-04-30,267285.91,0,267285.91,0,12.30488084,NA,20592.02,NA,22979.04,NA,22979.04,NA,22979.04,NA,22979.04,NA,352344.95,NA,267285.91
"117",NA,NA,2020-04-30,263315.95,0,263315.95,0,11.9384663,NA,22637.69,NA,22637.69,NA,22637.69,NA,22637.7,NA,22637.69,NA,339566.16,NA,263315.95
"118",NA,NA,2020-04-30,258665.49,0,258665.49,0,12.10081985,NA,21296.88,NA,22237.92,NA,22237.92,NA,22237.92,NA,22237.92,NA,336629.17,NA,258665.49
"119",NA,NA,2020-04-30,212975.85,0,212975.85,0,12.21875386,NA,16927.08,NA,18309.9,NA,18309.92,NA,18309.88,NA,18309.91,NA,279225.92,NA,212975.85
"120",NA,NA,2020-04-30,186480.66,0,186480.66,0,12.18039559,NA,14343.27,NA,16032.06,NA,16032.05,NA,16032.07,NA,16032.04,NA,244488.9,NA,186480.66
"121",NA,NA,2020-04-30,159804,0,159804,0,12.10522659,NA,13046.94,NA,13738.64,NA,13738.62,NA,13738.62,NA,13738.61,NA,208369,NA,159804
"122",NA,NA,2020-04-30,42152.03,0,42152.03,0,12.25560077,NA,3258.96,NA,3623.88,NA,3623.88,NA,3623.88,NA,3623.88,NA,55566.29,NA,42152.03
"123",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"124",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"125",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"126",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"127",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"128",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"129",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"130",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"131",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"132",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"133",NA,NA,2020-04-30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
